NE,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
NE,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
NE,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
NE,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
NE,0.000000,0.000000,0.636364,0.363636,0.000000,0.000000,0.800000,0.200000
NE,0.000000,0.777778,0.000000,0.222222,0.000000,0.666667,0.000000,0.333333
NE,0.000000,0.666667,0.333333,0.000000,0.000000,0.333333,0.666667,0.000000
NE,0.500000,0.500000,0.000000,0.000000,0.400000,0.600000,0.000000,0.000000
NE,0.666667,0.000000,0.333333,0.000000,0.250000,0.000000,0.750000,0.000000
NE,0.400000,0.400000,0.200000,0.000000,0.181818,0.272727,0.545455,0.000000
NE,0.437500,0.437500,0.000000,0.125000,0.307692,0.461538,0.000000,0.230769
NE,0.560000,0.000000,0.280000,0.160000,0.210526,0.000000,0.631579,0.157895
NE,0.000000,0.560000,0.280000,0.160000,0.000000,0.285714,0.571429,0.142857
NE,0.358974,0.358974,0.179487,0.102564,0.160000,0.240000,0.480000,0.120000
NE,0.777778,0.000000,0.000000,0.222222,0.571429,0.000000,0.000000,0.428571
